Mean Pitch,Median Pitch,Min Pitch,Max Pitch,Pitch Range,Variance,Slope,Intensity,Emotion
162.66857396539834,151.91714791564397,114.34652418960144,265.0279372235043,150.68141303390286,1645.1245938854563,-0.5692741533004524,14.12652736107107,1
253.93212803485284,260.2239811906731,101.53453441748115,460.36782281106906,358.8332883935879,4624.4780967859715,-1.7557556332059685,-22.763232648556833,1
114.55078814125582,101.01557341331798,82.16787980886703,550.9075700139263,468.7396902050592,4774.556933657082,-0.5660636298964067,27.196913144215063,1
272.32776313428974,264.54413697239323,102.74046251106448,376.3553183193634,273.6148558082989,3550.782249437755,-1.153163259949528,-20.807760180106953,1
208.08855106483347,173.33259048166454,114.58054823695966,535.5295655248656,420.9490172879059,8103.3780253393215,0.32140669464238064,31.10632401394187,1
245.0811282129761,237.64288262847572,76.26753321343804,349.8197932325199,273.5522600190818,3076.8576003442763,-0.6340701955693365,21.11693455800944,1
202.5631705966032,185.984433060508,121.99538647466326,598.6761176293651,476.6807311547018,7156.211569514665,0.27673841689875217,27.115448977340613,1
242.9732523342322,231.33798080732464,189.69432719414047,320.7384829122812,131.04415571814073,1175.1971669869833,-0.8024752147200036,31.842033221018642,1
97.71563619558262,97.4144659293066,75.42721607838895,126.340497430011,50.91328135162205,114.75535557657278,-0.14710946042099324,17.19438620056533,1
185.38963154934854,181.66567647498746,150.17243698610577,267.16229611055553,116.98985912444977,591.6729203013963,-0.27028324145594446,38.64516290321453,1
161.8598143175259,160.1909655251315,80.98204036867192,253.28006473036584,172.29802436169393,1460.4718656811524,-0.9896180535384123,31.71051988937731,1
192.86763146974812,186.10975535273172,133.05698844930487,271.5138861980302,138.45689774872534,1248.0645741556034,-0.5455820778462612,23.1167963894039,1
161.20085624394287,135.5474766657358,103.53470514083124,580.57184186634,477.0371367255088,10975.402071071154,0.9535900079386442,23.846870877866237,1
305.84529077169185,304.2683388093425,165.20868330745049,481.56736533511406,316.3586820276636,8207.950550038106,-2.9642183241878692,3.6990357698563985,1
171.07910150094395,154.67441893940872,91.48635157401657,563.0769052594852,471.59055368546865,5885.853180107482,-1.3473256379818668,31.061893596101775,1
234.07447282972888,228.89501078466725,142.80989156394745,344.8607101087649,202.05081854481747,2511.85104678475,-0.8007585793703582,-30.00041401003049,1
107.43824539104313,100.1842417458302,85.70567242443951,149.80794834237173,64.10227591793222,331.0101164163371,-0.7246464429368396,24.43435526921905,1
236.69036851184302,221.69184815772184,125.47291518326244,343.32496485795383,217.8520496746914,2899.4312306542197,-1.108240351618817,20.01436276761836,1
205.957119810508,210.69756861036623,96.73645568953368,425.6055450706917,328.869089381158,5498.755783379443,-1.323671491350403,14.681985282329359,1
202.6625848250074,198.77866175220177,153.95095540261786,287.9447241951115,133.99376879249365,920.4944722610439,-0.25187708339755727,-65.34417333828648,1
170.90362574015214,157.50793565050634,113.97436901456172,597.0286176228318,483.0542486082701,6922.959994943274,0.41275523540721426,35.89851924533894,1
200.0776818262883,193.83383196438066,152.27914091266263,277.2154136979399,124.93627278527725,1283.2372850656643,-0.947946525245748,25.410818027969338,1
231.36361227978654,229.0612080416075,131.14691624919294,595.1825147003079,464.035598451115,5224.729120435036,-0.16771760072814834,17.02131496664727,1
250.43076967451603,243.07991792394952,180.87732383006292,349.4702364287637,168.5929125987008,1048.8119850792746,-0.629051193966364,-26.855371422920673,1
183.25010182331442,169.61719033924453,113.53114111432265,322.72696705090476,209.1958259365821,2729.2543551446365,-0.738530063730085,26.5965630020224,1
245.34431457644305,251.40168061984429,83.50411092581436,374.3034772625164,290.79936633670206,4370.1214199423885,-1.8944709575542586,21.652153970952856,1
146.2722818781419,144.36083264711485,75.06723811381107,199.62210224679885,124.55486413298777,698.9806630778729,-0.3211355898075549,35.815227042642775,1
305.418575277492,272.09528429417276,137.67474917064723,521.4307787279752,383.7560295573279,9235.993226802091,-2.3843077643982737,-30.4893150057967,1
178.45275904664553,159.13660786589685,79.10285617801001,522.6865760123611,443.5837198343511,4593.9294049587525,-1.0992227058717572,31.20348576854653,1
254.79445607117552,237.8364848470084,79.01339390172033,364.16360489978535,285.150210998065,3449.4740283332217,-0.8074878162640384,28.475225994504296,1
269.09798278602125,252.99764869101574,78.70915989092582,597.8326206367585,519.1234607458327,7850.824604812728,0.26824739375165896,40.86141239355813,1
228.88065919297472,209.77344070024728,76.27340120764163,586.1374456157993,509.8640444081576,4857.86573398276,-0.23517224322540153,32.52855222021004,1
105.57632412941635,107.63740374270816,77.01984723906295,139.73132778504782,62.71148054598487,232.06386462926392,-0.29109169441034793,-3.8245206100737383,1
247.91426708587764,219.62312917235403,79.20925659135956,415.60260724976166,336.3933506584021,4608.891579553825,-0.5576949830059567,40.548891106966614,1
143.82041661348603,139.33626444233448,80.5058049661627,313.6268594263317,233.12105446016898,1830.8872016022906,-1.0514907385782963,28.039102455495513,1
189.80673798493333,182.33610132307496,144.82010474502533,250.37913639268393,105.5590316476586,966.3616794753056,-0.5638877479206431,22.84170523092998,1
194.43854766977284,165.47418676141064,129.68980431010192,581.139198675632,451.44939436553005,12438.082754301911,1.1867071859341087,25.49866177756888,1
310.72373742436145,283.6941577686607,164.66734758992618,466.63950016033033,301.97215257040415,5709.184173782734,-2.041389257498717,-21.078827469162054,1
207.29055813291953,194.74233097472575,135.48281098574063,580.1905520941175,444.70774110837687,5785.283781206658,0.02321893086256283,32.1358156016009,1
236.77100456366293,235.09965655490765,171.48140123985084,320.43283121271685,148.951429972866,1203.5234500760248,-0.6826013628205662,18.114475569646785,1
